Date,Open,High,Low,Close,Volume,Adj. Close
1999-01-19,1.497768,1.511161,1.441964,1.459821,133722400,0.98444
1999-01-20,1.466518,1.5,1.446429,1.448661,194530000,0.976913
1999-01-21,1.444196,1.448661,1.339286,1.386161,150122000,0.934766
1999-01-22,1.345982,1.410714,1.323661,1.383929,86441600,0.933261
1999-01-25,1.401786,1.412946,1.386161,1.40625,96334000,0.948313
1999-01-26,1.426339,1.459821,1.415179,1.446429,140011200,0.975408
1999-01-27,1.464286,1.477679,1.426339,1.433036,91238000,0.966376
1999-01-28,1.459821,1.473214,1.439732,1.459821,84070000,0.98444
1999-01-29,1.470982,1.484375,1.428571,1.470982,60678800,0.991966
1999-02-01,1.488839,1.497768,1.439732,1.462054,69728400,0.985945
1999-02-02,1.441964,1.455357,1.392857,1.399554,76790000,0.943798
1999-02-03,1.392857,1.448661,1.383929,1.435268,84686000,0.967882
1999-02-04,1.435268,1.4375,1.348214,1.352679,115945200,0.912187
1999-02-05,1.366071,1.370536,1.267857,1.296875,194300400,0.874556
1999-02-08,1.310268,1.354911,1.294643,1.348214,117056800,0.909177
1999-02-09,1.354911,1.395089,1.323661,1.328125,175288400,0.895629
1999-02-10,1.316964,1.381696,1.285714,1.368304,140907200,0.922724
1999-02-11,1.383929,1.419643,1.377232,1.415179,141299200,0.954334
1999-02-12,1.397321,1.397321,1.321429,1.345982,107226000,0.907671
1999-02-16,1.388393,1.388393,1.352679,1.368304,75056800,0.922724
1999-02-17,1.361607,1.381696,1.319196,1.321429,74015200,0.891113
1999-02-18,1.341518,1.352679,1.270089,1.285714,125042400,0.867029
1999-02-19,1.294643,1.345982,1.292411,1.328125,90423200,0.895629
1999-02-22,1.334821,1.388393,1.330357,1.372768,74667600,0.925734
1999-02-23,1.377232,1.412946,1.354911,1.372768,80544800,0.925734
1999-02-24,1.386161,1.392857,1.334821,1.337054,53188800,0.90165
1999-02-25,1.332589,1.345982,1.303571,1.319196,66150000,0.889608
1999-02-26,1.303571,1.321429,1.232143,1.243304,166812800,0.83843
1999-03-01,1.243304,1.243304,1.200893,1.205357,121956800,0.81284
1999-03-02,1.21875,1.261161,1.205357,1.236607,170763600,0.833914
1999-03-03,1.241071,1.254464,1.196429,1.220982,73337600,0.823377
1999-03-04,1.232143,1.232143,1.15625,1.194196,91817600,0.805314
1999-03-05,1.225446,1.225446,1.15625,1.185268,117009200,0.799293
1999-03-08,1.1875,1.238839,1.185268,1.227679,137667600,0.827892
1999-03-09,1.225446,1.227679,1.196429,1.21875,79923200,0.821872
1999-03-10,1.220982,1.220982,1.158482,1.162946,136570000,0.78424
1999-03-11,1.151786,1.209821,1.142857,1.149554,118414800,0.775209
1999-03-12,1.154018,1.196429,1.154018,1.185268,67849600,0.799293
1999-03-15,1.189732,1.25,1.1875,1.216518,88040400,0.820366
1999-03-16,1.25,1.270089,1.247768,1.267857,99957200,0.854987
1999-03-17,1.283482,1.287946,1.212054,1.216518,91579600,0.820366
1999-03-18,1.227679,1.272321,1.223214,1.267857,56770000,0.854987
1999-03-19,1.283482,1.285714,1.174107,1.196429,134125600,0.806819
1999-03-22,1.214286,1.256696,1.176339,1.252232,148402800,0.844451
1999-03-23,1.229911,1.229911,1.169643,1.178571,103888400,0.794777
1999-03-24,1.1875,1.205357,1.160714,1.203125,100038400,0.811335
1999-03-25,1.227679,1.245536,1.191964,1.207589,99990800,0.814345
1999-03-26,1.205357,1.207589,1.178571,1.1875,63459200,0.800798
1999-03-29,1.196429,1.265625,1.194196,1.263393,142217600,0.851977
1999-03-30,1.25,1.299107,1.25,1.28125,138630800,0.864019
1999-03-31,1.299107,1.325893,1.28125,1.283482,105588000,0.865524
1999-04-01,1.287946,1.310268,1.276786,1.287946,65514400,0.868535
1999-04-05,1.285714,1.352679,1.285714,1.323661,115234000,0.892619
1999-04-06,1.314732,1.368304,1.314732,1.357143,157147200,0.915198
1999-04-07,1.359375,1.366071,1.299107,1.325893,102953200,0.894124
1999-04-08,1.316964,1.323661,1.285714,1.316964,74102000,0.888103
1999-04-09,1.294643,1.330357,1.283482,1.3125,67135600,0.885092
1999-04-12,1.25,1.316964,1.245536,1.294643,98954800,0.87305
1999-04-13,1.296875,1.314732,1.232143,1.236607,103096000,0.833914
1999-04-14,1.258929,1.323661,1.25,1.268971,170256800,0.855739
1999-04-15,1.263393,1.292411,1.225446,1.276786,433619200,0.861008
1999-04-16,1.28125,1.287946,1.258929,1.265625,125554800,0.853482
1999-04-19,1.274554,1.285714,1.196429,1.209821,230454000,0.815851
1999-04-20,1.209821,1.241071,1.196429,1.216518,130964400,0.820366
1999-04-21,1.214286,1.227679,1.196429,1.227679,87850000,0.827892
1999-04-22,1.252232,1.308036,1.252232,1.299107,185043600,0.876061
1999-04-23,1.294643,1.408482,1.294643,1.399554,261710400,0.943798
1999-04-26,1.410714,1.473214,1.401786,1.462054,231982800,0.985945
1999-04-27,1.535714,1.636161,1.535714,1.633929,526512000,1.10185
1999-04-28,1.59375,1.631696,1.558036,1.573661,238747600,1.061208
1999-04-29,1.544643,1.584821,1.492186,1.535714,197327200,1.035618
1999-04-30,1.571429,1.683036,1.571429,1.642857,368082400,1.107871
1999-05-03,1.645089,1.785714,1.633929,1.770089,367609200,1.193671
1999-05-04,1.723214,1.736607,1.649554,1.660714,202809600,1.119913
1999-05-05,1.654018,1.678571,1.59375,1.678571,144824400,1.131955
1999-05-06,1.662946,1.674107,1.571429,1.589286,108287200,1.071744
1999-05-07,1.59375,1.638393,1.526786,1.638393,108679200,1.10486
1999-05-10,1.669643,1.676339,1.59375,1.616071,98249200,1.089808
1999-05-11,1.602679,1.649554,1.555804,1.598214,114648800,1.077766
1999-05-12,1.602679,1.660714,1.575893,1.660714,98781200,1.119913
1999-05-13,1.658482,1.671875,1.625,1.649554,73880800,1.112387
1999-05-14,1.611607,1.636161,1.584821,1.584821,56658000,1.068734
1999-05-17,1.5625,1.595982,1.535714,1.584821,52690400,1.068734
1999-05-18,1.600446,1.642857,1.584821,1.616071,104594000,1.089808
1999-05-19,1.625,1.633929,1.553571,1.613839,74569600,1.088302
1999-05-20,1.622768,1.633929,1.517857,1.517857,104428800,1.023576
1999-05-21,1.535714,1.582589,1.520089,1.569196,115796800,1.058197
1999-05-24,1.558036,1.582589,1.495536,1.497768,65231600,1.010029
1999-05-25,1.484375,1.515625,1.462054,1.482143,91627200,0.999492
1999-05-26,1.491071,1.584821,1.473214,1.573661,109387600,1.061208
1999-05-27,1.542411,1.5625,1.524554,1.553571,84190400,1.047661
1999-05-28,1.546875,1.582589,1.540179,1.573661,50282400,1.061208
1999-06-01,1.607143,1.618304,1.584821,1.600446,115256400,1.079271
1999-06-02,1.589286,1.712054,1.571429,1.662946,130264400,1.121418
1999-06-03,1.674107,1.714286,1.671875,1.694196,122127600,1.142492
1999-06-04,1.700893,1.720982,1.6875,1.71875,92170400,1.15905
1999-06-07,1.71875,1.75,1.696429,1.747768,104571600,1.178618
1999-06-08,1.741071,1.743304,1.698661,1.703125,78414000,1.148513
1999-06-09,1.694196,1.732143,1.694196,1.729911,88446400,1.166576
1999-06-10,1.709821,1.723214,1.689732,1.71875,79262400,1.15905
1999-06-11,1.71875,1.732143,1.651786,1.658482,46261600,1.118408
1999-06-14,1.660714,1.665179,1.611607,1.622768,39270000,1.094324
1999-06-15,1.613839,1.669643,1.611607,1.645089,32597600,1.109376
1999-06-16,1.65625,1.716518,1.65625,1.712054,56254800,1.154534
1999-06-17,1.700893,1.714286,1.633929,1.65625,56100800,1.116903
1999-06-18,1.620536,1.6875,1.613839,1.683036,52015600,1.134966
1999-06-21,1.678571,1.6875,1.642857,1.660714,33787600,1.119913
1999-06-22,1.654018,1.676339,1.620536,1.620536,37769200,1.092818
1999-06-23,1.609375,1.610489,1.555804,1.560268,132874000,1.052176
1999-06-24,1.558036,1.558036,1.508929,1.511161,108340400,1.01906
1999-06-25,1.517857,1.524554,1.502232,1.506696,73533600,1.01605
1999-06-28,1.515625,1.533482,1.513393,1.520089,69423200,1.025082
1999-06-29,1.525668,1.627232,1.522321,1.620536,95096400,1.092818
1999-06-30,1.631696,1.676339,1.604911,1.654018,85817200,1.115397
1999-07-01,1.654018,1.662946,1.616071,1.618304,37304400,1.091313
1999-07-02,1.626114,1.674107,1.613839,1.654018,30920400,1.115397
1999-07-06,1.640625,1.700893,1.636161,1.691964,113453200,1.140987
1999-07-07,1.691964,1.8125,1.678571,1.78125,274789200,1.201197
1999-07-08,1.825893,1.966518,1.816964,1.946429,406260400,1.312586
1999-07-09,1.946429,1.986607,1.892857,1.986607,152174400,1.339681
1999-07-12,1.982143,1.986607,1.935268,1.946429,75978000,1.312586
1999-07-13,1.910714,1.935268,1.888393,1.917411,70814800,1.293018
1999-07-14,1.946429,2.022321,1.946429,1.997768,156139200,1.347207
1999-07-15,1.995536,1.997768,1.832589,1.901786,422951200,1.282481
1999-07-16,1.915179,1.946429,1.892857,1.895089,102874800,1.277965
1999-07-19,1.926339,1.993304,1.868304,1.944196,140324800,1.311081
1999-07-20,1.948661,1.982143,1.883929,1.888393,110518800,1.273449
1999-07-21,1.930804,1.979911,1.888393,1.930804,179541600,1.302049
1999-07-22,1.915179,1.924107,1.825893,1.870536,101682000,1.261407
1999-07-23,1.886161,1.919643,1.881696,1.904018,57262800,1.283986
1999-07-26,1.888393,1.892857,1.816964,1.819196,87796800,1.226786
1999-07-27,1.879464,1.926339,1.875,1.917411,98977200,1.293018
1999-07-28,1.924107,1.977679,1.892857,1.941964,82227600,1.309575
1999-07-29,1.90625,1.973214,1.897321,1.924107,68868800,1.297534
1999-07-30,1.946429,2.004464,1.946429,1.988839,95785200,1.341186
1999-08-02,1.986607,2.071429,1.982143,1.991071,90610800,1.342691
1999-08-03,2.026786,2.051339,1.915179,1.973214,92094800,1.330649
1999-08-04,1.970982,1.995536,1.901786,1.921875,92856400,1.296028
1999-08-05,1.910714,1.959821,1.861607,1.955357,80634400,1.318607
1999-08-06,1.930804,1.975446,1.910714,1.933036,108889200,1.303555
1999-08-09,1.940846,1.970982,1.9375,1.944196,58321200,1.311081
1999-08-10,1.928571,2,1.915179,1.977679,104056400,1.33366
1999-08-11,2,2.133929,1.997768,2.131696,212584400,1.437523
1999-08-12,2.109375,2.191964,2.09375,2.142857,166527200,1.445049
1999-08-13,2.165179,2.214286,2.138393,2.145089,74608800,1.446554
1999-08-16,2.136161,2.167411,2.125,2.160714,69232800,1.457091
1999-08-17,2.154018,2.15625,2.104911,2.154018,80234000,1.452575
1999-08-18,2.145089,2.214286,2.129464,2.147321,117143600,1.448059
1999-08-19,2.136161,2.160714,2.091518,2.098214,137505200,1.414944
1999-08-20,2.116071,2.120536,2.078125,2.113839,81986800,1.42548
1999-08-23,2.120536,2.191964,2.118304,2.169643,88891600,1.463112
1999-08-24,2.15625,2.169643,2.140625,2.15625,125566000,1.45408
1999-08-25,2.167411,2.196429,2.147321,2.191964,73791200,1.478165
1999-08-26,2.183036,2.254464,2.183036,2.21875,101122000,1.496228
1999-08-27,2.241071,2.321429,2.238839,2.3125,111708800,1.559448
1999-08-30,2.321429,2.321429,2.214286,2.216518,84148400,1.494723
1999-08-31,2.235489,2.352679,2.216518,2.330357,158636800,1.571491
1999-09-01,2.392857,2.457589,2.357143,2.450893,197156400,1.652775
